fold,level,model,tol,design_column,coefficient,intercept
0,3,M3,1e-10,dow_3,-0.07642239481071014,-7.515305042442099
0,3,M3,1e-10,dow_4,-0.12400863305069294,-7.515305042442099
0,3,M3,1e-10,dow_5,0.031853074677165465,-7.515305042442099
0,3,M3,1e-10,dow_6,0.03264430806778016,-7.515305042442099
0,3,M3,1e-10,unit_10,0.057088749060375185,-7.515305042442099
0,3,M3,1e-10,unit_11,0.004868481018750032,-7.515305042442099
0,3,M3,1e-10,unit_12,0.088886271471081,-7.515305042442099
0,3,M3,1e-10,unit_13,-0.31721761808795856,-7.515305042442099
0,3,M3,1e-10,unit_14,0.17624085799612124,-7.515305042442099
0,3,M3,1e-10,unit_15,-0.09007070153809515,-7.515305042442099
0,3,M3,1e-10,unit_16,0.019050770477292343,-7.515305042442099
0,3,M3,1e-10,unit_2,-0.12553282256612053,-7.515305042442099
0,3,M3,1e-10,unit_3,0.06567855865831285,-7.515305042442099
0,3,M3,1e-10,unit_4,-0.1286846210270104,-7.515305042442099
0,3,M3,1e-10,unit_5,-0.10649361354676985,-7.515305042442099
0,3,M3,1e-10,unit_6,-0.03415827946937579,-7.515305042442099
0,3,M3,1e-10,unit_7,0.2035151398363167,-7.515305042442099
0,3,M3,1e-10,unit_8,0.19365747381217122,-7.515305042442099
0,3,M3,1e-10,unit_9,-0.21959076326853486,-7.515305042442099
1,0,M0,1e-10,sin1,0.005423535297664343,-7.485026453173102
1,0,M0,1e-10,cos1,-0.3110015662162413,-7.485026453173102
1,0,M0,1e-10,sin2,-0.032711361623928105,-7.485026453173102
1,0,M0,1e-10,cos2,-0.03830777296489743,-7.485026453173102
1,0,M0,1e-10,sin3,0.07777698375599805,-7.485026453173102
1,0,M0,1e-10,cos3,0.026859070580860817,-7.485026453173102
1,0,M0,1e-10,dow_1,-0.014986355637384421,-7.485026453173102
1,0,M0,1e-10,dow_2,-0.05591456456959007,-7.485026453173102
1,0,M0,1e-10,dow_3,-0.08688457441236296,-7.485026453173102
1,0,M0,1e-10,dow_4,-0.141435904306488,-7.485026453173102
1,0,M0,1e-10,dow_5,-0.01769466845062083,-7.485026453173102
1,0,M0,1e-10,dow_6,0.0006065642208512034,-7.485026453173102
1,0,M0,1e-10,unit_10,0.10574966788653709,-7.485026453173102
1,0,M0,1e-10,unit_11,-0.0015896350349116017,-7.485026453173102
1,0,M0,1e-10,unit_12,0.09256238130592878,-7.485026453173102
1,0,M0,1e-10,unit_13,-0.18669230638372605,-7.485026453173102
1,0,M0,1e-10,unit_14,0.18979287085635957,-7.485026453173102
1,0,M0,1e-10,unit_15,-0.08603853369684171,-7.485026453173102
1,0,M0,1e-10,unit_16,-0.034006040566992475,-7.485026453173102
1,0,M0,1e-10,unit_2,-0.14705683078816675,-7.485026453173102
1,0,M0,1e-10,unit_3,0.07561390896455522,-7.485026453173102
1,0,M0,1e-10,unit_4,-0.1657741733986667,-7.485026453173102
1,0,M0,1e-10,unit_5,-0.2090439337108287,-7.485026453173102
1,0,M0,1e-10,unit_6,-0.07665746508261334,-7.485026453173102
1,0,M0,1e-10,unit_7,0.1904334826606031,-7.485026453173102
1,0,M0,1e-10,unit_8,0.32570029077572854,-7.485026453173102
1,0,M0,1e-10,unit_9,-0.31985877853169187,-7.485026453173102
1,1,M1,1e-10,sin1,0.04362203406340987,-7.472283321406615
1,1,M1,1e-10,cos1,-0.2575032542304864,-7.472283321406615
1,1,M1,1e-10,sin2,-0.022192939581591256,-7.472283321406615
1,1,M1,1e-10,cos2,-0.0302322994586322,-7.472283321406615
1,1,M1,1e-10,sin3,0.08009610344269037,-7.472283321406615
1,1,M1,1e-10,cos3,0.016619617075511482,-7.472283321406615
1,1,M1,1e-10,tmean_z,-0.1118519414746862,-7.472283321406615
1,1,M1,1e-10,heat_z,-0.010002912721629783,-7.472283321406615
1,1,M1,1e-10,cold_z,-0.02746115639069676,-7.472283321406615
1,1,M1,1e-10,precip_z,0.003952490530710035,-7.472283321406615
1,1,M1,1e-10,heavy_precip_z,-0.03753946902975802,-7.472283321406615
1,1,M1,1e-10,dewpoint_depression_z,0.0681302047541022,-7.472283321406615
1,1,M1,1e-10,vulnerability_index_z,-0.04749798282927213,-7.472283321406615
1,1,M1,1e-10,dow_1,-0.016876351602412902,-7.472283321406615
1,1,M1,1e-10,dow_2,-0.05610547304881399,-7.472283321406615
1,1,M1,1e-10,dow_3,-0.0882249054220594,-7.472283321406615
1,1,M1,1e-10,dow_4,-0.14346579041863136,-7.472283321406615
1,1,M1,1e-10,dow_5,-0.01654025522618941,-7.472283321406615
1,1,M1,1e-10,dow_6,-0.0015154940716106075,-7.472283321406615
1,1,M1,1e-10,unit_10,0.12918549833712242,-7.472283321406615
